date,keyword,value,country
2020-06-13,flood,0,CL
2020-06-14,flood,0,CL
2020-06-15,flood,0,CL
2020-06-16,flood,0,CL
2020-06-17,flood,0,CL
2020-06-18,flood,11,CL
2020-06-19,flood,0,CL
2020-06-20,flood,0,CL
2020-06-21,flood,0,CL
2020-06-22,flood,0,CL
2020-06-23,flood,0,CL
2020-06-24,flood,0,CL
2020-06-25,flood,0,CL
2020-06-26,flood,0,CL
2020-06-27,flood,0,CL
2020-06-28,flood,0,CL
2020-06-29,flood,0,CL
2020-06-30,flood,0,CL
2020-07-01,flood,0,CL
2020-07-02,flood,0,CL
2020-07-03,flood,0,CL
2020-07-04,flood,0,CL
2020-07-05,flood,0,CL
2020-07-06,flood,0,CL
2020-07-07,flood,0,CL
2020-07-08,flood,0,CL
2020-07-09,flood,0,CL
2020-07-10,flood,0,CL
2020-07-11,flood,0,CL
2020-07-12,flood,0,CL
2020-07-13,flood,0,CL
2020-07-14,flood,0,CL
2020-07-15,flood,0,CL
2020-07-16,flood,0,CL
2020-07-17,flood,0,CL
2020-07-18,flood,0,CL
2020-07-19,flood,0,CL
2020-07-20,flood,0,CL
2020-07-21,flood,0,CL
2020-07-22,flood,0,CL
2020-07-23,flood,0,CL
2020-07-24,flood,0,CL
2020-07-25,flood,0,CL
2020-07-26,flood,0,CL
2020-07-27,flood,0,CL
2020-07-28,flood,0,CL
2020-07-29,flood,0,CL
2020-07-30,flood,0,CL
2020-07-31,flood,0,CL
2020-08-01,flood,0,CL
2020-08-02,flood,0,CL
2020-08-03,flood,0,CL
2020-08-04,flood,0,CL
2020-08-05,flood,0,CL
2020-08-06,flood,0,CL
2020-08-07,flood,0,CL
2020-08-08,flood,0,CL
2020-08-09,flood,0,CL
2020-08-10,flood,0,CL
2020-08-11,flood,0,CL
2020-08-12,flood,0,CL
2020-08-13,flood,0,CL
2020-08-14,flood,0,CL
2020-08-15,flood,0,CL
2020-08-16,flood,16,CL
2020-08-17,flood,11,CL
2020-08-18,flood,0,CL
2020-08-19,flood,0,CL
2020-08-20,flood,0,CL
2020-08-21,flood,0,CL
2020-08-22,flood,0,CL
2020-08-23,flood,0,CL
2020-08-24,flood,15,CL
2020-08-25,flood,0,CL
2020-08-26,flood,10,CL
2020-08-27,flood,0,CL
2020-08-28,flood,0,CL
2020-08-29,flood,0,CL
2020-08-30,flood,0,CL
2020-08-31,flood,0,CL
2020-09-01,flood,0,CL
2020-09-02,flood,0,CL
2020-09-03,flood,0,CL
2020-09-04,flood,0,CL
2020-09-05,flood,0,CL
2020-09-06,flood,0,CL
2020-09-07,flood,0,CL
2020-09-08,flood,0,CL
2020-09-09,flood,12,CL
2020-09-10,flood,0,CL
2020-09-11,flood,0,CL
2020-09-12,flood,0,CL
2020-09-13,flood,0,CL
2020-09-14,flood,0,CL
2020-09-15,flood,0,CL
2020-09-16,flood,0,CL
2020-09-17,flood,0,CL
2020-09-18,flood,0,CL
2020-09-19,flood,0,CL
2020-09-20,flood,0,CL
2020-09-21,flood,0,CL
2020-09-22,flood,0,CL
2020-09-23,flood,0,CL
2020-09-24,flood,0,CL
2020-09-25,flood,0,CL
2020-09-26,flood,0,CL
2020-09-27,flood,0,CL
2020-09-28,flood,0,CL
2020-09-29,flood,0,CL
2020-09-30,flood,0,CL
2020-10-01,flood,0,CL
2020-10-02,flood,0,CL
2020-10-03,flood,0,CL
2020-10-04,flood,0,CL
2020-10-05,flood,0,CL
2020-10-06,flood,0,CL
2020-10-07,flood,0,CL
2020-10-08,flood,0,CL
2020-10-09,flood,0,CL
2020-10-10,flood,0,CL
2020-10-11,flood,0,CL
2020-10-12,flood,0,CL
2020-10-13,flood,0,CL
2020-10-14,flood,0,CL
2020-10-15,flood,0,CL
2020-10-16,flood,0,CL
2020-10-17,flood,0,CL
2020-10-18,flood,0,CL
2020-10-19,flood,0,CL
2020-10-20,flood,13,CL
2020-10-21,flood,0,CL
2020-10-22,flood,0,CL
2020-10-23,flood,0,CL
2020-10-24,flood,0,CL
2020-10-25,flood,0,CL
2020-10-26,flood,0,CL
2020-10-27,flood,0,CL
2020-10-28,flood,0,CL
2020-10-29,flood,0,CL
2020-10-30,flood,0,CL
2020-10-31,flood,0,CL
2020-11-01,flood,0,CL
2020-11-02,flood,0,CL
2020-11-03,flood,0,CL
2020-11-04,flood,0,CL
2020-11-05,flood,0,CL
2020-11-06,flood,0,CL
2020-11-07,flood,0,CL
2020-11-08,flood,0,CL
2020-11-09,flood,0,CL
2020-11-10,flood,0,CL
2020-11-11,flood,0,CL
2020-11-12,flood,0,CL
2020-11-13,flood,0,CL
2020-11-14,flood,0,CL
2020-11-15,flood,0,CL
2020-11-16,flood,0,CL
2020-11-17,flood,0,CL
2020-11-18,flood,0,CL
2020-11-19,flood,0,CL
2020-11-20,flood,0,CL
2020-11-21,flood,0,CL
2020-11-22,flood,0,CL
2020-11-23,flood,0,CL
2020-11-24,flood,0,CL
2020-11-25,flood,0,CL
2020-11-26,flood,0,CL
2020-11-27,flood,0,CL
2020-11-28,flood,0,CL
2020-11-29,flood,0,CL
2020-11-30,flood,0,CL
2020-12-01,flood,0,CL
2020-12-02,flood,0,CL
2020-12-03,flood,0,CL
2020-12-04,flood,0,CL
2020-12-05,flood,0,CL
2020-12-06,flood,0,CL
2020-12-07,flood,0,CL
2020-12-08,flood,0,CL
2020-12-09,flood,0,CL
2020-12-10,flood,0,CL
2020-12-11,flood,0,CL
2020-12-12,flood,0,CL
2020-12-13,flood,0,CL
2020-12-14,flood,0,CL
2020-12-15,flood,0,CL
2020-12-16,flood,0,CL
2020-12-17,flood,0,CL
2020-12-18,flood,0,CL
2020-12-19,flood,0,CL
2020-12-20,flood,0,CL
2020-12-21,flood,0,CL
2020-12-22,flood,0,CL
2020-12-23,flood,0,CL
2020-12-24,flood,0,CL
2020-12-25,flood,0,CL
2020-12-26,flood,0,CL
2020-12-27,flood,0,CL
2020-12-28,flood,0,CL
2020-12-29,flood,0,CL
2020-12-30,flood,0,CL
2020-12-31,flood,0,CL
2020-01-01,protests,0,CL
2020-01-02,protests,0,CL
2020-01-03,protests,0,CL
2020-01-04,protests,0,CL
2020-01-05,protests,0,CL
2020-01-06,protests,0,CL
2020-01-07,protests,0,CL
2020-01-08,protests,0,CL
2020-01-09,protests,0,CL
2020-01-10,protests,0,CL
2020-01-11,protests,0,CL
2020-01-12,protests,0,CL
2020-01-13,protests,0,CL
2020-01-14,protests,0,CL
2020-01-15,protests,0,CL
2020-01-16,protests,0,CL
2020-01-17,protests,0,CL
2020-01-18,protests,0,CL
2020-01-19,protests,0,CL
2020-01-20,protests,0,CL
2020-01-21,protests,0,CL
2020-01-22,protests,0,CL
2020-01-23,protests,0,CL
2020-01-24,protests,0,CL
2020-01-25,protests,0,CL
2020-01-26,protests,0,CL
2020-01-27,protests,0,CL
2020-01-28,protests,0,CL
2020-01-29,protests,0,CL
2020-01-30,protests,0,CL
2020-01-31,protests,0,CL
2020-02-01,protests,0,CL
2020-02-02,protests,0,CL
2020-02-03,protests,0,CL
2020-02-04,protests,0,CL
2020-02-05,protests,0,CL
2020-02-06,protests,0,CL
2020-02-07,protests,0,CL
2020-02-08,protests,0,CL
2020-02-09,protests,0,CL
2020-02-10,protests,0,CL
2020-02-11,protests,0,CL
2020-02-12,protests,0,CL
2020-02-13,protests,0,CL
2020-02-14,protests,0,CL
2020-02-15,protests,0,CL
2020-02-16,protests,0,CL
2020-02-17,protests,0,CL
2020-02-18,protests,0,CL
2020-02-19,protests,0,CL
2020-02-20,protests,0,CL
2020-02-21,protests,0,CL
2020-02-22,protests,0,CL
2020-02-23,protests,0,CL
2020-02-24,protests,0,CL
2020-02-25,protests,0,CL
2020-02-26,protests,0,CL
2020-02-27,protests,0,CL
2020-02-28,protests,0,CL
2020-02-29,protests,0,CL
2020-03-01,protests,0,CL
2020-03-02,protests,0,CL
2020-03-03,protests,0,CL
2020-03-04,protests,0,CL
2020-03-05,protests,0,CL
2020-03-06,protests,0,CL
2020-03-07,protests,0,CL
2020-03-08,protests,0,CL
2020-03-09,protests,0,CL
2020-03-10,protests,0,CL
2020-03-11,protests,0,CL
2020-03-12,protests,0,CL
2020-03-13,protests,0,CL
2020-03-14,protests,0,CL
2020-03-15,protests,0,CL
2020-03-16,protests,0,CL
2020-03-17,protests,0,CL
2020-03-18,protests,0,CL
2020-03-19,protests,0,CL
2020-03-20,protests,0,CL
2020-03-21,protests,0,CL
2020-03-22,protests,0,CL
2020-03-23,protests,0,CL
2020-03-24,protests,0,CL
2020-03-25,protests,0,CL
2020-03-26,protests,0,CL
2020-03-27,protests,0,CL
2020-03-28,protests,0,CL
2020-03-29,protests,0,CL
2020-03-30,protests,0,CL
2020-03-31,protests,0,CL
2020-04-01,protests,0,CL
2020-04-02,protests,0,CL
2020-04-03,protests,0,CL
2020-04-04,protests,0,CL
2020-04-05,protests,0,CL
2020-04-06,protests,0,CL
2020-04-07,protests,0,CL
2020-04-08,protests,0,CL
2020-04-09,protests,0,CL
2020-04-10,protests,0,CL
2020-04-11,protests,0,CL
2020-04-12,protests,0,CL
2020-04-13,protests,0,CL
2020-04-14,protests,0,CL
2020-04-15,protests,0,CL
2020-04-16,protests,0,CL
2020-04-17,protests,0,CL
2020-04-18,protests,0,CL
2020-04-19,protests,0,CL
2020-04-20,protests,0,CL
2020-04-21,protests,0,CL
2020-04-22,protests,0,CL
2020-04-23,protests,0,CL
2020-04-24,protests,0,CL
2020-04-25,protests,0,CL
2020-04-26,protests,0,CL
2020-04-27,protests,0,CL
2020-04-28,protests,0,CL
2020-04-29,protests,0,CL
2020-04-30,protests,0,CL
2020-05-01,protests,0,CL
2020-05-02,protests,0,CL
2020-05-03,protests,0,CL
2020-05-04,protests,0,CL
2020-05-05,protests,0,CL
2020-05-06,protests,0,CL
2020-05-07,protests,0,CL
2020-05-08,protests,0,CL
2020-05-09,protests,0,CL
2020-05-10,protests,0,CL
2020-05-11,protests,0,CL
2020-05-12,protests,0,CL
2020-05-13,protests,0,CL
2020-05-14,protests,0,CL
2020-05-15,protests,0,CL
2020-05-16,protests,0,CL
2020-05-17,protests,0,CL
2020-05-18,protests,0,CL
2020-05-19,protests,0,CL
2020-05-20,protests,0,CL
2020-05-21,protests,0,CL
2020-05-22,protests,0,CL
2020-05-23,protests,0,CL
2020-05-24,protests,0,CL
2020-05-25,protests,0,CL
2020-05-26,protests,0,CL
2020-05-27,protests,0,CL
2020-05-28,protests,0,CL
2020-05-29,protests,0,CL
2020-05-30,protests,14,CL
2020-05-31,protests,17,CL
2020-06-01,protests,17,CL
2020-06-02,protests,16,CL
2020-06-03,protests,0,CL
2020-06-04,protests,0,CL
2020-06-05,protests,0,CL
2020-06-06,protests,0,CL
2020-06-07,protests,0,CL
2020-06-08,protests,0,CL
2020-06-09,protests,0,CL
2020-06-10,protests,0,CL
2020-06-11,protests,0,CL
2020-06-12,protests,0,CL
2020-06-13,protests,0,CL
2020-06-14,protests,0,CL
2020-06-15,protests,0,CL
2020-06-16,protests,0,CL
2020-06-17,protests,0,CL
2020-06-18,protests,0,CL
2020-06-19,protests,0,CL
2020-06-20,protests,0,CL
2020-06-21,protests,0,CL
2020-06-22,protests,0,CL
2020-06-23,protests,0,CL
2020-06-24,protests,0,CL
2020-06-25,protests,0,CL
2020-06-26,protests,0,CL
2020-06-27,protests,0,CL
2020-06-28,protests,0,CL
2020-06-29,protests,0,CL
2020-06-30,protests,0,CL
2020-07-01,protests,0,CL
2020-07-02,protests,0,CL
2020-07-03,protests,0,CL
2020-07-04,protests,0,CL
2020-07-05,protests,0,CL
2020-07-06,protests,0,CL
2020-07-07,protests,0,CL
2020-07-08,protests,0,CL
2020-07-09,protests,0,CL
2020-07-10,protests,0,CL
2020-07-11,protests,0,CL
2020-07-12,protests,0,CL
2020-07-13,protests,0,CL
2020-07-14,protests,0,CL
2020-07-15,protests,0,CL
2020-07-16,protests,0,CL
2020-07-17,protests,0,CL
2020-07-18,protests,0,CL
2020-07-19,protests,0,CL
2020-07-20,protests,0,CL
2020-07-21,protests,0,CL
2020-07-22,protests,0,CL
2020-07-23,protests,0,CL
2020-07-24,protests,0,CL
2020-07-25,protests,0,CL
2020-07-26,protests,0,CL
2020-07-27,protests,0,CL
2020-07-28,protests,0,CL
2020-07-29,protests,0,CL
2020-07-30,protests,0,CL
2020-07-31,protests,0,CL
2020-08-01,protests,0,CL
2020-08-02,protests,0,CL
2020-08-03,protests,0,CL
2020-08-04,protests,0,CL
2020-08-05,protests,0,CL
2020-08-06,protests,0,CL
2020-08-07,protests,0,CL
2020-08-08,protests,0,CL
2020-08-09,protests,0,CL
2020-08-10,protests,0,CL
2020-08-11,protests,0,CL
2020-08-12,protests,0,CL
2020-08-13,protests,0,CL
2020-08-14,protests,0,CL
2020-08-15,protests,0,CL
2020-08-16,protests,0,CL
2020-08-17,protests,0,CL
2020-08-18,protests,0,CL
2020-08-19,protests,0,CL
2020-08-20,protests,0,CL
2020-08-21,protests,0,CL
2020-08-22,protests,0,CL
2020-08-23,protests,0,CL
2020-08-24,protests,0,CL
2020-08-25,protests,0,CL
2020-08-26,protests,0,CL
2020-08-27,protests,0,CL
2020-08-28,protests,0,CL
2020-08-29,protests,0,CL
2020-08-30,protests,0,CL
2020-08-31,protests,0,CL
2020-09-01,protests,0,CL
2020-09-02,protests,0,CL
2020-09-03,protests,0,CL
2020-09-04,protests,0,CL
2020-09-05,protests,0,CL
2020-09-06,protests,0,CL
2020-09-07,protests,0,CL
2020-09-08,protests,0,CL
2020-09-09,protests,0,CL
2020-09-10,protests,0,CL
2020-09-11,protests,0,CL
2020-09-12,protests,0,CL
2020-09-13,protests,0,CL
2020-09-14,protests,0,CL
2020-09-15,protests,0,CL
2020-09-16,protests,0,CL
2020-09-17,protests,0,CL
2020-09-18,protests,0,CL
2020-09-19,protests,0,CL
2020-09-20,protests,0,CL
2020-09-21,protests,0,CL
2020-09-22,protests,0,CL
2020-09-23,protests,0,CL
2020-09-24,protests,0,CL
2020-09-25,protests,0,CL
2020-09-26,protests,0,CL
2020-09-27,protests,0,CL
2020-09-28,protests,0,CL
2020-09-29,protests,0,CL
2020-09-30,protests,0,CL
2020-10-01,protests,0,CL
2020-10-02,protests,0,CL
2020-10-03,protests,0,CL
2020-10-04,protests,0,CL
2020-10-05,protests,0,CL
2020-10-06,protests,0,CL
2020-10-07,protests,0,CL
2020-10-08,protests,0,CL
2020-10-09,protests,0,CL
2020-10-10,protests,0,CL
2020-10-11,protests,0,CL
2020-10-12,protests,0,CL
2020-10-13,protests,0,CL
2020-10-14,protests,0,CL
2020-10-15,protests,0,CL
2020-10-16,protests,0,CL
2020-10-17,protests,0,CL
2020-10-18,protests,0,CL
2020-10-19,protests,0,CL
2020-10-20,protests,0,CL
2020-10-21,protests,0,CL
2020-10-22,protests,0,CL
2020-10-23,protests,0,CL
2020-10-24,protests,0,CL
2020-10-25,protests,0,CL
2020-10-26,protests,0,CL
2020-10-27,protests,0,CL
2020-10-28,protests,0,CL
2020-10-29,protests,0,CL
2020-10-30,protests,0,CL
2020-10-31,protests,0,CL
2020-11-01,protests,0,CL
2020-11-02,protests,0,CL
2020-11-03,protests,0,CL
2020-11-04,protests,0,CL
2020-11-05,protests,0,CL
2020-11-06,protests,0,CL
2020-11-07,protests,0,CL
2020-11-08,protests,0,CL
2020-11-09,protests,0,CL
2020-11-10,protests,0,CL
2020-11-11,protests,0,CL
2020-11-12,protests,0,CL
2020-11-13,protests,0,CL
2020-11-14,protests,0,CL
2020-11-15,protests,0,CL
2020-11-16,protests,0,CL
2020-11-17,protests,0,CL
2020-11-18,protests,14,CL
2020-11-19,protests,0,CL
2020-11-20,protests,0,CL
2020-11-21,protests,0,CL
2020-11-22,protests,0,CL
2020-11-23,protests,0,CL
2020-11-24,protests,0,CL
2020-11-25,protests,0,CL
2020-11-26,protests,0,CL
2020-11-27,protests,0,CL
2020-11-28,protests,0,CL
2020-11-29,protests,0,CL
2020-11-30,protests,0,CL
2020-12-01,protests,0,CL
2020-12-02,protests,0,CL
2020-12-03,protests,0,CL
2020-12-04,protests,0,CL
2020-12-05,protests,0,CL
2020-12-06,protests,0,CL
2020-12-07,protests,0,CL
2020-12-08,protests,0,CL
2020-12-09,protests,0,CL
2020-12-10,protests,0,CL
2020-12-11,protests,0,CL
2020-12-12,protests,0,CL
2020-12-13,protests,0,CL
2020-12-14,protests,0,CL
2020-12-15,protests,0,CL
2020-12-16,protests,0,CL
2020-12-17,protests,0,CL
2020-12-18,protests,0,CL
2020-12-19,protests,0,CL
2020-12-20,protests,0,CL
2020-12-21,protests,0,CL
2020-12-22,protests,0,CL
2020-12-23,protests,0,CL
2020-12-24,protests,0,CL
2020-12-25,protests,0,CL
2020-12-26,protests,0,CL
2020-12-27,protests,0,CL
2020-12-28,protests,0,CL
2020-12-29,protests,0,CL
2020-12-30,protests,0,CL
2020-12-31,protests,0,CL
